inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,193166,493866,10,71,1
100,random,search,168266,159066,10,71,1
100,random,delete,168733,62600,10,71,1
100,sorted,insert,311300,262133,99,71,1
100,sorted,search,782466,99966,99,71,1
100,sorted,delete,685933,45800,99,71,1
500,random,insert,559800,1083433,18,641,5
500,random,search,190666,203866,18,641,5
500,random,delete,134600,89800,18,641,5
500,sorted,insert,7169133,897900,499,631,5
500,sorted,search,2330900,118866,499,631,5
500,sorted,delete,1395333,53733,499,631,5
1000,random,insert,1122600,1376333,19,1143,3
1000,random,search,179166,82800,19,1143,3
1000,random,delete,112200,29766,19,1143,3
1000,sorted,insert,14868766,1168533,999,1203,3
1000,sorted,search,3817900,73700,999,1203,3
1000,sorted,delete,1840600,20200,999,1203,3
5000,random,insert,6842266,4213433,26,5180,4
5000,random,search,381300,113800,26,5180,4
5000,random,delete,87566,25200,26,5180,4
5000,sorted,insert,310510800,2170400,4999,5275,4
5000,sorted,search,14331633,78233,4999,5275,4
5000,sorted,delete,924200,23500,4999,5275,4
10000,random,insert,13242233,4990033,31,8835,4
10000,random,search,304233,63833,31,8835,4
10000,random,delete,66333,15533,31,8835,4
10000,sorted,insert,1134391433,4128200,9998,9928,4
10000,sorted,search,27339733,79266,9998,9928,4
10000,sorted,delete,761133,117866,9998,9928,4
