inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,318600,298133,10,71,1
100,random,search,145066,85400,10,71,1
100,random,delete,137166,43533,10,71,1
100,sorted,insert,478166,329100,99,71,1
100,sorted,search,701733,91933,99,71,1
100,sorted,delete,566233,53466,99,71,1
500,random,insert,526766,1492800,18,641,5
500,random,search,438133,155266,18,641,5
500,random,delete,200900,60200,18,641,5
500,sorted,insert,6819200,916666,499,631,5
500,sorted,search,4670233,94066,499,631,5
500,sorted,delete,2042500,49400,499,631,5
1000,random,insert,1241733,1313500,19,1143,3
1000,random,search,175900,192333,19,1143,3
1000,random,delete,74266,64866,19,1143,3
1000,sorted,insert,7928766,744166,999,1203,3
1000,sorted,search,3188933,51600,999,1203,3
1000,sorted,delete,1234766,16166,999,1203,3
5000,random,insert,6018233,3673100,26,5180,4
5000,random,search,282533,78133,26,5180,4
5000,random,delete,73433,20700,26,5180,4
5000,sorted,insert,115794233,1498900,4999,5275,4
5000,sorted,search,12004000,43533,4999,5275,4
5000,sorted,delete,748600,27200,4999,5275,4
10000,random,insert,8867033,5059633,31,8835,4
10000,random,search,249700,72300,31,8835,4
10000,random,delete,45600,15033,31,8835,4
10000,sorted,insert,510407866,2139666,9998,9928,4
10000,sorted,search,19581366,31033,9998,9928,4
10000,sorted,delete,617300,33933,9998,9928,4
