inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,55801,100004,10,71,1
100,random,search,48205,20553,10,71,1
100,random,delete,32279,17798,10,71,1
100,sorted,insert,72032,80454,99,71,1
100,sorted,search,50358,17442,99,71,1
100,sorted,delete,147182,9093,99,71,1
500,random,insert,204881,351937,18,641,5
500,random,search,38028,24654,18,641,5
500,random,delete,16467,10947,18,641,5
500,sorted,insert,1716107,325031,499,631,5
500,sorted,search,425554,23578,499,631,5
500,sorted,delete,133159,19777,499,631,5
1000,random,insert,581905,626280,19,1143,3
1000,random,search,40900,17760,19,1143,3
1000,random,delete,14867,5305,19,1143,3
1000,sorted,insert,2495933,513435,999,1203,3
1000,sorted,search,937427,10703,999,1203,3
1000,sorted,delete,425273,3165,999,1203,3
5000,random,insert,5591093,1438082,26,5180,4
5000,random,search,52141,14098,26,5180,4
5000,random,delete,18361,4241,26,5180,4
5000,sorted,insert,48070149,366523,4999,5275,4
5000,sorted,search,3992979,11044,4999,5275,4
5000,sorted,delete,340731,4447,4999,5275,4
10000,random,insert,2728403,3750635,31,8835,4
10000,random,search,67930,10116,31,8835,4
10000,random,delete,13579,2555,31,8835,4
10000,sorted,insert,202575121,2668543,9998,9928,4
10000,sorted,search,6765165,18965,9998,9928,4
10000,sorted,delete,298480,5550,9998,9928,4
