inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,38319,53255,10,71,1
100,random,search,41451,18791,10,71,1
100,random,delete,34190,9130,10,71,1
100,sorted,insert,46776,40416,99,71,1
100,sorted,search,41324,18925,99,71,1
100,sorted,delete,131628,8639,99,71,1
500,random,insert,100085,186246,18,641,5
500,random,search,30535,23071,18,641,5
500,random,delete,19602,14678,18,641,5
500,sorted,insert,959654,175660,499,631,5
500,sorted,search,334996,21091,499,631,5
500,sorted,delete,182864,18060,499,631,5
1000,random,insert,239558,275798,19,1143,3
1000,random,search,32041,13072,19,1143,3
1000,random,delete,16788,3769,19,1143,3
1000,sorted,insert,1898935,235856,999,1203,3
1000,sorted,search,875466,11393,999,1203,3
1000,sorted,delete,353273,3425,999,1203,3
5000,random,insert,3396990,698758,26,5180,4
5000,random,search,43945,21942,26,5180,4
5000,random,delete,19976,5407,26,5180,4
5000,sorted,insert,36777589,263526,4999,5275,4
5000,sorted,search,3009590,9884,4999,5275,4
5000,sorted,delete,228264,4022,4999,5275,4
10000,random,insert,2604552,745086,31,8835,4
10000,random,search,58810,8549,31,8835,4
10000,random,delete,10866,2216,31,8835,4
10000,sorted,insert,149618526,513053,9998,9928,4
10000,sorted,search,5358739,9194,9998,9928,4
10000,sorted,delete,189039,2837,9998,9928,4
