inputSize,order,operation,bstTimeNs,hashTableTimeNs,bstHeight,hashCollisions,hashMaxChain
100,random,insert,92013,87581,10,71,1
100,random,search,39420,22314,10,71,1
100,random,delete,39246,9440,10,71,1
100,sorted,insert,74519,75597,99,71,1
100,sorted,search,49375,15508,99,71,1
100,sorted,delete,144308,8863,99,71,1
500,random,insert,276587,345902,18,641,5
500,random,search,37762,27073,18,641,5
500,random,delete,16824,21684,18,641,5
500,sorted,insert,1068015,2991783,499,631,5
500,sorted,search,440301,29189,499,631,5
500,sorted,delete,208223,9595,499,631,5
1000,random,insert,417628,510661,19,1143,3
1000,random,search,33790,11996,19,1143,3
1000,random,delete,13748,3715,19,1143,3
1000,sorted,insert,6215507,521047,999,1203,3
1000,sorted,search,931323,11295,999,1203,3
1000,sorted,delete,419850,3214,999,1203,3
5000,random,insert,4412455,1419431,26,5180,4
5000,random,search,51068,14125,26,5180,4
5000,random,delete,16827,4164,26,5180,4
5000,sorted,insert,48031917,332910,4999,5275,4
5000,sorted,search,3795789,10491,4999,5275,4
5000,sorted,delete,299293,4156,4999,5275,4
10000,random,insert,6165362,2025082,31,8835,4
10000,random,search,64784,14897,31,8835,4
10000,random,delete,12907,3367,31,8835,4
10000,sorted,insert,197271019,1509389,9998,9928,4
10000,sorted,search,6765577,11914,9998,9928,4
10000,sorted,delete,254398,4205,9998,9928,4
